id,name,avg_user_rating,user_ratings_count,reviews_count,added,avg_playtime,esrb_rating,release_year,release_month,release_quarter,critic_rating,rating_gap,genre_count,is_action,is_adventure,is_arcade,is_board_games,is_card,is_casual,is_educational,is_family,is_fighting,is_indie,is_massively_multiplayer,is_platformer,is_puzzle,is_rpg,is_racing,is_shooter,is_simulation,is_sports,is_strategy,platform_type,platform_count,store_count
15854,STAR WARS - X-Wing Alliance,2.87,38,38,921,1,,1999,2,1,,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,pc_only,1,2
15079,Blackwell Convergence,3.76,58,58,921,3,,2012,1,1,,,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,pc_only,3,2
14503,Crusaders of the Lost Idols,1.92,36,36,920,2,,2015,10,4,,,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,pc_only,2,1
13796,Waves,3.52,29,29,920,1,,2011,11,4,4.1,-0.5799999999999996,4,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,pc_only,2,2
9656,Shiness: The Lightning Kingdom,2.56,27,27,920,3,Teen,2017,4,2,3.4,-0.8399999999999999,4,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,multi_platform,3,3
17186,Splatter - Zombie Apocalypse,2.31,55,55,919,4,,2014,6,2,,,9,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,pc_only,3,1
387329,Eldest Souls,3.78,38,41,918,3,Teen,2021,7,3,3.9,-0.1200000000000001,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,multi_platform,6,4
4679,Tom Clancy's Ghost Recon Advanced Warfighter 2,3.42,106,106,918,1,Teen,2007,3,1,4.1,-0.6799999999999997,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,multi_platform,5,3
49382,Slipstream,3.23,53,53,917,1,Everyone,2018,5,2,3.7,-0.4700000000000002,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,multi_platform,7,2
4507,MotorStorm: Apocalypse,3.63,163,163,917,0,Teen,2011,3,1,3.85,-0.2200000000000002,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,console_only,1,1
374507,Guilty Gear -Strive,4.29,99,99,916,11,Teen,2021,6,2,4.25,0.040000000000000036,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,multi_platform,5,2
10607,Infested Planet,3.33,45,45,916,3,Mature,2013,7,3,3.75,-0.41999999999999993,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,pc_only,2,2
